vendor,product,iot,kev,1d,1d_uniq_ip,7d,30d,90d,history,cve,total,last_seen
Zoho,ManageEngine (multiple products),True,True,19,2.0,14,39,40,{},CVE-2022-47966,14155,2026-02-08 13:05:44.181212
vBulletin,vBulletin,True,True,19,2.0,31,51,38,{},CVE-2020-12720,31600,2026-02-06 13:16:16.289913
Citrix,Citrix ADC and Citrix Gateway,True,True,19,6.0,45,93,149,{},CVE-2023-4966,355204,2026-02-06 13:16:16.347105
Sophos,Sophos Web Appliance,True,True,19,2.0,18,38,38,{},CVE-2023-1671,14376,2026-02-08 13:05:44.227909
FIT2CLOUD,KubePi,True,True,19,2.0,19,39,30,{},CVE-2024-36111,10338,2026-02-08 13:05:44.227318
Wordpress,Wordpress Steveas WP Live Chat Shoutbox plugin,True,True,19,2.0,14,39,31,{},CVE-2023-1020,12872,2026-02-08 13:05:44.110972
WAGO,WAGO products (multiple),True,True,19,2.0,19,39,36,{},CVE-2023-1698,16077,2026-02-08 13:05:44.106160
Mitel,MiCollab,True,True,19,2.0,31,52,80,{},CVE-2024-41713,26375,2026-02-08 13:05:44.178834
Home Assistant,Home Assistance (Supervisor),True,True,19,2.0,26,118,84,{},CVE-2023-27482,112322,2026-02-08 13:05:44.066872
CSE Bookstore,CSE Bookstore,True,True,18,2.0,30,59,39,{},CVE-2020-36112,34135,2026-02-06 13:16:16.396425
WAVLINK,WAVLINK WN575A4 and WN579X3,True,True,18,2.0,31,41,39,{},CVE-2020-13117,33028,2026-02-06 13:16:16.331360
Monitorr,Monitorr,True,True,18,2.0,29,62,58,{},CVE-2023-26775,66110,2026-02-06 13:16:16.441519
CONTEC,SolarView Compact,True,True,18,2.0,17,41,30,{},CVE-2023-29919,10668,2026-02-08 13:05:44.042596
Wordpress,Wordpress Chop Slider plugin,True,True,18,2.0,32,56,39,{},CVE-2020-11530,31722,2026-02-06 13:16:16.250591
Roundcube,Roundcube Webmail,True,True,18,2.0,42,94,62,{},CVE-2020-12641,6396,2026-02-06 13:16:16.443611
Seowon Intech,"Seowon SLC-130, SLR-120S",True,True,18,2.0,31,41,44,{},CVE-2020-17456,52164,2026-02-06 13:16:16.432650
DCN (Digital China Networks),DCBI-Netlog-LAB,True,True,18,2.0,19,41,37,{},CVE-2023-26802,3724,2026-02-08 13:05:44.092191
Intellian,Intellian Aptus Web,True,True,18,2.0,31,52,41,{},CVE-2020-7980,40878,2026-02-06 13:16:16.288345
Ruckus,Ruckus vRioT,True,True,18,2.0,31,55,41,{},CVE-2020-26879,4005,2026-02-06 13:16:16.250412
Citrix,Citrix SD-WAN and NetScaler SD-WAN,True,True,18,2.0,33,64,55,{},CVE-2019-12990,76133,2026-02-06 13:16:16.292367
Mirko B̦er Software Development,SuperWebMailer,True,True,18,2.0,31,55,45,{},CVE-2020-11546,36545,2026-02-06 13:16:16.348928
Western Digital,MyCloud NAS,True,True,18,2.0,35,71,48,{},CVE-2016-10108,35874,2026-02-06 13:16:16.377292
SAP,NetWeaver AS JAVA (LM Configuration Wizard),True,True,18,2.0,30,46,34,{},CVE-2020-6287,35728,2026-02-06 13:16:16.368200
Atlassian,Confluence,True,True,18,2.0,31,350,398,{},CVE-2023-22515,1093682,2026-02-08 13:05:44.192453
OpenMRS,OpenMRS,True,True,18,2.0,36,46,42,{},CVE-2018-19276,4956,2026-02-06 13:16:16.274851
Comodo,Comodo UTM Firewall,True,True,18,2.0,37,67,52,{},CVE-2018-17431,36067,2026-02-06 13:16:16.359968
LG,NAS N1A1,True,True,18,2.0,36,47,46,{},CVE-2018-14839,51138,2026-02-06 13:16:16.438420
Netsweeper,Netsweeper,True,True,18,2.0,34,63,53,{},CVE-2020-13167,46320,2026-02-06 13:16:16.452645
VMware,"Workspace ONE Access, Identity Manager and vRealize Automation",True,True,18,5.0,15,32,23,{},CVE-2022-31656,10298,2026-02-06 13:16:16.415806
CONTEC,SolarView Compact,True,True,18,2.0,18,37,35,{},CVE-2023-23333,15063,2026-02-08 13:05:44.129186
CONTEC,SolarView Compact,True,True,18,2.0,14,40,37,{},CVE-2022-40881,15377,2026-02-08 13:05:44.119907
VMware,Aria Operations for Networks,True,True,18,2.0,22,41,35,{},CVE-2023-20887,18727,2026-02-08 13:05:44.156580
Wordpress,Wordpress JoomSport plugin,True,True,18,2.0,14,37,30,{},CVE-2022-4050,12653,2026-02-08 13:05:44.120291
Wordpress,Wordpress Easy Digital Downloads plugin,True,True,18,2.0,21,33,30,{},CVE-2023-23489,13329,2026-02-08 13:05:44.183298
Linksys,RE6500 Series,True,True,18,2.0,29,45,40,{},CVE-2020-35713,37859,2026-02-06 13:16:16.430451
Arcserve,Arcserve Unified Data Protection (UDP),True,True,18,2.0,25,42,33,{},CVE-2023-26258,2188,2026-02-08 13:05:44.228518
Apache,ColdFusion,True,True,18,2.0,35,60,53,{},CVE-2018-15961,51645,2026-02-06 13:16:16.256024
Palo Alto Networks,PAN-OS,True,True,18,2.0,35,88,62,{},CVE-2017-15944,55599,2026-02-06 13:16:16.429044
Wordpress,Wordpress Oturia Smart Google Code Inserter plugin,True,True,17,2.0,37,46,35,{},CVE-2018-3810,51415,2026-02-06 13:16:16.350914
Daylight Studio,FUEL CMS,True,True,17,2.0,36,71,48,{},CVE-2018-16763,40158,2026-02-06 13:16:16.435002
GLPI (teclib),GLPI,True,True,17,2.0,16,45,53,{},CVE-2022-35914,38764,2026-02-08 13:05:44.044699
Keysight Technologies,Sensor Management Server,True,True,17,2.0,23,41,28,{},CVE-2022-38130,1206,2026-02-08 13:05:44.054819
F5,BIG-IP,True,True,17,1.0,17,12,14,{},CVE-2016-5700,678,2026-02-07 13:05:04.350569
vBulletin,vBulletin,True,True,17,2.0,19,38,34,{},CVE-2023-25135,14135,2026-02-08 13:05:44.174981
Ollama,Ollama,True,True,17,2.0,27,46,77,{},CVE-2024-37032,20107,2026-02-08 13:05:44.042297
Penta Security,WAPPLES,True,True,17,2.0,14,38,32,{},CVE-2022-35413,19478,2026-02-08 13:05:44.202616
APsystems,Altenergy Power Control Software,True,True,17,2.0,18,38,28,{},CVE-2023-28343,11527,2026-02-08 13:05:44.121259
Wordpress,Wordpress IWS - Geo Form Fields plugin,True,True,17,2.0,13,40,33,{},CVE-2022-4117,13101,2026-02-08 13:05:44.159173
HPE,HPE Smart Update Manager (SUM),True,True,17,2.0,32,63,42,{},CVE-2020-7136,3626,2026-02-06 13:16:16.455302
Adobe,ColdFusion,True,True,17,2.0,17,40,33,{},CVE-2023-29300,15346,2026-02-08 13:05:44.079632
WeiPHP,WeiPHP,True,True,17,4.0,8,8,8,{},CVE-2020-20300,17,2026-02-02 13:16:42.934003
VMware,vCenter,True,True,17,1.0,32,47,40,{},CVE-2021-21985,38529,2026-02-06 13:16:16.435425
Citrix,Citrix SD-WAN and NetScaler SD-WAN,True,True,17,2.0,46,93,95,{},CVE-2019-12987,249621,2026-02-06 13:16:16.290336
Barco/AWIND,Barco/AWIND OEM,True,True,17,2.0,34,41,43,{},CVE-2019-3929,34313,2026-02-06 13:16:16.369219
Apache,CouchDB,True,True,17,2.0,34,65,44,{},CVE-2017-12635,53271,2026-02-06 13:16:16.320590
Citrix,Citrix SD-WAN and NetScaler SD-WAN,True,True,17,2.0,33,42,42,{},CVE-2019-12986,69265,2026-02-06 13:16:16.268435
Atlassian,Confluence,True,True,17,2.0,40,60,70,{},CVE-2019-3396,119321,2026-02-06 13:16:16.275886
OpenDreamBox,Plugin WebAdmin,True,True,17,2.0,48,119,118,{},CVE-2017-14135,304554,2026-02-07 13:05:04.310352
PrestaShop,Attribute Wizard addon for PrestaShop,True,True,17,2.0,37,70,47,{},CVE-2018-10942,43019,2026-02-06 13:16:16.345169
Oracle,Oracle Weblogic Server,True,True,17,2.0,36,64,55,{},CVE-2018-2894,57327,2026-02-06 13:16:16.394365
Microsoft,SharePoint,True,True,17,2.0,16,52,36,{},CVE-2023-29357,16142,2026-02-08 13:05:44.161502
Atlassian,Confluence,True,True,17,2.0,19,65,122,{},CVE-2023-22518,73705,2026-02-08 13:05:44.074482
nostromo,nhttpd,True,True,17,2.0,30,53,42,{},CVE-2019-16278,41517,2026-02-06 13:16:16.425535
JFrog,Artifactory,True,True,17,2.0,29,41,36,{},CVE-2019-9733,33040,2026-02-06 13:16:16.293436
Ivanti,Ivanti Secure Connect and Policy Secure,True,True,16,2.0,259,434,716,{},CVE-2024-21887,682777,2026-02-08 13:05:44.103207
SecurEnvoy,SecurEnvoy MFA,True,True,16,2.0,24,41,39,{},CVE-2024-37393,1029,2026-02-08 13:05:44.184148
Wordpress,Wordpress File Upload plugin,True,True,16,2.0,22,31,45,{},CVE-2024-9047,3872,2026-02-08 13:05:44.060135
Ivanti,Ivanti EPM,True,True,16,2.0,15,56,57,{},CVE-2024-13159,11307,2026-02-08 13:05:44.178051
Hitachi Ventara,Pentaho Business Analytics,True,True,16,2.0,19,12,16,{},CVE-2021-31602,12007,2026-01-24 02:10:29.392691
Ivanti,Ivanti EPM,True,True,16,2.0,14,101,99,{},CVE-2024-29824,147285,2026-02-08 13:05:44.207658
Cisco,HyperFlex HX,True,True,16,2.0,31,41,39,{},CVE-2021-1497,39329,2026-02-06 13:16:16.312619
OpenMetadata,OpenMetadata,True,True,16,2.0,15,107,152,{},CVE-2024-28255,37803,2026-02-08 13:05:44.208671
Ivanti,Ivanti EPM,True,True,16,2.0,13,60,57,{},CVE-2024-13161,8594,2026-02-08 13:05:44.233951
TP-Link,"TP-Link TL-WR840N v5, TL-WR841N v13",True,True,16,2.0,23,28,28,{},CVE-2018-11714,180,2026-02-08 13:05:44.232327
Qualitor,Qualitor ITSM,True,True,16,2.0,24,37,76,{},CVE-2024-44849,14200,2026-02-08 13:05:44.161304
Wordpress,Wordpress WP Query Console plugin,True,True,16,2.0,22,34,60,{},CVE-2024-50498,4774,2026-02-08 13:05:44.080221
JEECG,jeecg-boot,True,True,16,2.0,28,43,56,{},CVE-2024-48307,16627,2026-02-08 13:05:44.238747
SonicWall,SonicOS,True,True,16,2.0,13,73,198,{},CVE-2024-53704,70791,2026-02-08 13:05:44.100652
TP-Link,TP-Link Archer C20,True,True,16,2.0,22,36,54,{},CVE-2024-57049,4472,2026-02-08 13:05:44.195360
Progress,WhatsUp Gold,True,True,16,2.0,20,34,50,{},CVE-2024-4885,8455,2026-02-08 13:05:44.196240
Aviatrix,Aviatrix Network Controller,True,True,16,2.0,22,34,47,{},CVE-2024-50603,7060,2026-02-08 13:05:44.119286
D-Link,D-Link Central WiFi Manager CWM(100),True,True,16,2.0,35,42,36,{},CVE-2019-13372,3283,2026-02-06 13:16:16.350137
Citrix,Citrix NetScaler Console,True,True,16,2.0,23,73,65,{},CVE-2024-6235,2967,2026-02-08 13:05:44.103817
ZoneMinder,ZoneMinder,True,True,16,2.0,22,35,48,{},CVE-2024-43360,3231,2026-02-08 13:05:44.127617
Wordpress,Wordpress Gift Voucher plugin,True,True,16,2.0,34,65,42,{},CVE-2018-16159,34330,2026-02-06 13:16:16.454528
Atlassian,Crowd/Crowd Data Center,True,True,16,2.0,36,59,49,{},CVE-2019-11580,60865,2026-02-06 13:16:16.275277
Progress,WhatsUp Gold,True,True,16,2.0,27,38,53,{},CVE-2024-6670,4918,2026-02-08 13:05:44.042865
plentico,plenti,True,True,16,2.0,22,33,35,{},CVE-2024-49380,797,2026-02-08 13:05:44.070932
Progress,Telerik Report Server,True,True,16,2.0,21,36,47,{},CVE-2024-4358,14531,2026-02-08 13:05:44.136729
Adones Pitogo,angular-base64-upload,True,True,16,2.0,21,34,67,{},CVE-2024-42640,15141,2026-02-08 13:05:44.153192
D-Link,"D-Link DNS-320L, DNS-325, DNS-327L and DNS-340L",True,True,16,2.0,13,23,25,{},CVE-2024-3273,21151,2026-02-08 13:05:44.237995
Ivanti,Ivanti EPM,True,True,16,2.0,14,55,56,{},CVE-2024-13160,10002,2026-02-08 13:05:44.181935
SolarWinds,SolarWinds Serv-U,True,True,16,15.0,8,25,82,{},CVE-2024-28995,253634,2026-02-08 13:05:44.199488
Zyxel,Zyxel NAS326,True,True,16,2.0,13,36,55,{},CVE-2024-29973,17876,2026-02-08 13:05:44.164766
Cisco,Cisco Smart Licensing Utility (CSLU),True,True,16,2.0,15,43,53,{},CVE-2024-20439,2504,2026-02-08 13:05:44.086774
anji-plus,AJ-Report,True,True,16,2.0,51,52,50,{},CVE-2024-7314,326,2026-02-08 13:05:44.194383
FOG Project,FOG,True,True,16,2.0,22,33,63,{},CVE-2024-39914,14078,2026-02-08 13:05:44.059945
MASA CMS,MASA CMS,True,True,16,2.0,13,36,49,{},CVE-2024-32640,9785,2026-02-08 13:05:44.188403
Webmin,Webmin,True,True,16,2.0,36,52,42,{},CVE-2019-15107,44804,2026-02-06 13:16:16.315855
SPIP,SPIP,True,True,16,2.0,22,31,44,{},CVE-2024-7954,6732,2026-02-08 13:05:44.158082
Wordpress,Wordpress Automatic plugin,True,True,16,2.0,14,37,50,{},CVE-2024-27956,7727,2026-02-08 13:05:44.234810
Alibaba,Nacos,True,True,16,2.0,17,49,33,{},CVE-2021-29441,38955,2026-02-08 13:05:44.134892
Ivanti,Ivanti Virtual Traffic Manager (vTM),True,True,15,2.0,21,42,48,{},CVE-2024-7593,19952,2026-02-08 13:05:44.126472
LG,SuperSign CMS,True,True,15,2.0,136,178,137,{},CVE-2018-17173,7009,2026-02-07 13:05:04.181407
D-Link,D-Link DAR-7000 and DAR-8000,True,True,15,1.0,17,36,60,{},CVE-2023-5148,10412,2026-02-06 13:16:16.448869
Wordpress,Wordpress WHMpress - WHMCS WordPress Integration Plugin plugin,True,True,15,2.0,21,33,49,{},CVE-2024-9193,2199,2026-02-08 13:05:44.197853
Control iD,Control iD iDSecure,True,True,15,1.0,30,37,32,{},CVE-2023-6329,907,2026-02-06 13:16:16.272294
Palo Alto Networks,Palo Alto Networks Expedition,True,True,15,2.0,43,69,69,{},CVE-2025-0107,606,2026-02-08 13:05:44.225951
pgAdmin,pgAdmin 4,True,True,15,2.0,23,71,63,{},CVE-2024-9014,16205,2026-02-08 13:05:44.081034
Ivanti,"Endpoint Manager Mobile (EPMM), formerly MobileIron Core",True,True,15,7.0,80,97,100,{},CVE-2023-35082,126731,2026-02-06 13:16:16.256231
Wordpress,Wordpress Update Backup Restore & Monitoring plugin,True,True,15,5.0,15,15,15,"{'18/03/2025': {'connections': 15, 'uniq_ips': 5}}",CVE-2024-12209,15,2025-03-18 12:49:07.855121
Atlassian,JIRA,True,True,15,4.0,25,25,22,{},CVE-2019-11581,20881,2026-02-02 13:16:42.787431
MagnusSolution,magnusbilling,True,True,15,2.0,31,112,141,{},CVE-2023-30258,20775,2026-02-08 13:05:44.131631
AimStack,Aim,True,True,15,2.0,25,44,70,{},CVE-2024-6396,16729,2026-02-08 13:05:44.141427
Elber,Elber (multiple products),True,True,15,2.0,20,36,43,{},CVE-2025-0674,2215,2026-02-08 13:05:44.172177
JetBrains,TeamCity,True,True,15,2.0,15,1391,4891,{},CVE-2023-42793,5285754,2026-02-08 13:05:44.081643
PaperCut,PaperCut MF/NG,True,True,15,1.0,35,51,52,"{'07/02/2026': {'connections': 15, 'uniq_ips': 2}}",CVE-2023-27350,35951,2026-02-06 13:16:16.327580
R-HUB,TurboMeeting,True,True,15,2.0,20,37,57,{},CVE-2024-38289,13670,2026-02-08 13:05:44.232554
Vanna,Vanna,True,True,15,2.0,12,32,49,{},CVE-2024-5827,13778,2026-02-08 13:05:44.241426
Fortra,GoAnywhere MFT,True,True,14,8.0,16,58,40,{},CVE-2024-0204,31465,2026-02-06 13:16:16.400187
Wordpress,Wordpress Hunk Companion plugin,True,True,14,2.0,21,42,42,{},CVE-2024-9707,947,2026-02-08 13:05:44.051323
Viessmann,Vitogate 300 BN/MB,True,True,14,2.0,13,33,54,{},CVE-2023-45852,12499,2026-02-08 13:05:44.092412
Qlik,Qlik Sense,True,True,14,1.0,18,24,21,{},CVE-2023-41265,2276,2026-02-06 13:16:16.344800
Palo Alto Networks,Palo Alto Expedition,True,True,14,1.0,37,34,34,{},CVE-2024-9463,6220,2026-02-06 13:16:16.309073
JEECG,jeecg-boot,True,True,14,2.0,13,33,44,{},CVE-2023-4450,8934,2026-02-08 13:05:44.220648
D-Link,D-Link D-View 8,True,True,14,2.0,14,38,32,{},CVE-2023-5074,10530,2026-02-08 13:05:44.133652
Wordpress,Wordpress NotificationX plugin,True,True,14,1.0,30,39,51,{},CVE-2024-1698,10972,2026-02-06 13:16:16.259321
Gladinet,Gladinet CentreStack & Triofox,True,True,14,2.0,25,35,29,{},CVE-2025-12480,728,2026-02-08 13:05:44.100447
NetAlertX,NetAlertX,True,True,14,1.0,42,37,49,{},CVE-2024-48766,4170,2026-02-06 13:16:16.370447
Wordpress,Wordpress PayPlus Payment Gateway plugin,True,True,14,1.0,36,35,50,{},CVE-2024-6205,6602,2026-02-06 13:16:16.356408
Apache,Arrow,True,True,14,2.0,15,33,35,{},CVE-2023-47248,5095,2026-02-08 13:05:44.072986
ForgeRock,ForgeRock Access Manager,True,True,14,5.0,15,28,30,{},CVE-2021-35464,12456,2026-02-06 13:16:16.392099
SysAid,SysAid On-Premise,True,True,14,2.0,15,41,45,{},CVE-2023-47246,19234,2026-02-08 13:05:44.236221
Likeshop,Likeshop,True,True,14,2.0,13,22,25,{},CVE-2024-0352,3928,2026-02-08 13:05:44.174770
FlexPaper (Flowpaper),FlexPaper (Flowpaper),True,True,14,2.0,34,79,63,{},CVE-2018-11686,15694,2026-02-07 13:05:04.350970
Wordpress,Wordpress HTML5 Video Player plugin,True,True,14,2.0,13,36,49,{},CVE-2024-1061,11615,2026-02-08 13:05:44.185370
Ericsson,CodeChecker,True,True,14,2.0,16,41,46,{},CVE-2024-10081,10794,2026-02-08 13:05:44.175165
ColumbiaSoft,Document Locator,True,True,14,1.0,32,40,41,"{'07/02/2026': {'connections': 14, 'uniq_ips': 2}}",CVE-2023-5830,10466,2026-02-06 13:16:16.440909
NextChat (ChatGPT-Next-Web),NextChat (ChatGPT-Next-Web),True,True,14,2.0,43,126,88,{},CVE-2023-49785,48747,2026-02-08 13:05:44.172358
Gibbon,Gibbon,True,True,14,2.0,14,34,46,{},CVE-2023-45878,7527,2026-02-08 13:05:44.189945
Ruijie Networks,NBR,True,True,14,2.0,41,29,29,{},CVE-2020-36870,162,2026-02-07 13:05:04.262467
Spring,Spring Data Commons,True,True,14,1.0,34,78,61,{},CVE-2018-1273,77971,2026-02-07 13:05:04.344159
Wordpress,Wordpress Jordy Meow AI Engine: ChatGPT Chatbot plugin,True,True,14,2.0,14,36,32,{},CVE-2023-51409,2431,2026-02-08 13:05:44.187440
Wordpress,Wordpress POST SMTP Mailer plugin,True,True,14,2.0,15,23,23,{},CVE-2023-6875,134,2026-02-08 13:05:44.135513
Totolink,Totolink A3700R,True,True,14,2.0,14,32,36,{},CVE-2023-46574,11697,2026-02-08 13:05:44.236026
NextGen Healthcare,Mirth Connect,True,True,14,2.0,44,86,78,{},CVE-2023-43208,87374,2026-02-08 13:05:44.179832
Apache,OFBiz,True,True,14,1.0,37,34,35,"{'07/02/2026': {'connections': 14, 'uniq_ips': 2}}",CVE-2023-51467,13663,2026-02-06 13:16:16.311533
Totolink,Totolink A3700R,True,True,14,2.0,16,34,34,{},CVE-2023-52028,14209,2026-02-08 13:05:44.156139
FSMLabs,TimeKeeper,True,True,13,2.0,22,99,89,{},CVE-2023-31465,36942,2026-02-08 13:05:44.140274
GeoServer,GeoServer,True,True,13,2.0,13,87,73,{},CVE-2023-43795,39140,2026-02-08 13:05:44.057584
Ivanti,Ivanti CSA,True,True,13,5.0,278,222,273,{},CVE-2024-8963,157970,2026-02-08 13:05:44.142411
PyTorch,PyTorch TorchServe,True,True,13,2.0,15,86,56,{},CVE-2023-43654,1310,2026-02-08 13:05:44.167199
Arc53,DocsGPT,True,True,13,1.0,35,31,32,{},CVE-2025-0868,4377,2026-02-06 13:16:16.451320
PrestaShop,NDK Design for PrestaShop,True,True,13,2.0,14,34,33,{},CVE-2023-46347,9849,2026-02-08 13:05:44.121084
Tenda,Tenda G1 and G3,True,True,13,1.0,13,13,13,"{'09/06/2025': {'connections': 13, 'uniq_ips': 1}}",CVE-2021-27692,13,2025-06-09 12:53:37.709067
Apache,OFBiz,True,True,13,2.0,17,36,34,{},CVE-2023-49070,12168,2026-02-08 13:05:44.078803
Wordpress,Wordpress Media Library Assistant plugin,True,True,13,2.0,14,85,116,{},CVE-2023-4634,37393,2026-02-08 13:05:44.048063
Progress,MOVEit Transfer,True,True,13,2.0,15,37,39,{},CVE-2023-36934,12804,2026-02-08 13:05:44.052536
Chamilo,Chamilo,True,True,13,2.0,86,79,42,{},CVE-2023-34960,12762,2026-02-08 13:05:44.160137
Wordpress,Wordpress Visualizer plugin (by Themeisle),True,True,13,2.0,13,13,13,"{'26/10/2025': {'connections': 13, 'uniq_ips': 2}}",CVE-2019-16932,71,2025-10-26 12:48:32.001159
Viessmann,Vitogate 300 BN/MB,True,True,13,2.0,21,41,38,{},CVE-2023-5222,11419,2026-02-08 13:05:44.131024
Honeywell,Honeywell PM43,True,True,13,2.0,17,38,38,{},CVE-2023-3710,10848,2026-02-08 13:05:44.226574
Cassia,Cassia Gateway,True,True,13,2.0,18,99,92,{},CVE-2023-31446,25337,2026-02-08 13:05:44.143711
SibSoft,Xfilesharing,True,True,13,1.0,38,44,41,{},CVE-2019-18952,213,2026-02-07 13:05:04.371412
D-Link,D-Link DAR-8000-10,True,True,13,2.0,14,36,34,{},CVE-2023-4542,7648,2026-02-08 13:05:44.180034
Paessler,PRTG Network Monitor,True,True,13,1.0,36,51,34,{},CVE-2018-19410,1132,2026-02-07 13:05:04.337462
Embedthis,GoAhead,True,True,12,1.0,12,12,12,"{'13/03/2025': {'connections': 12, 'uniq_ips': 1}}",CVE-2017-17562,12,2025-03-13 12:48:14.311821
NextGen Healthcare,Mirth Connect,True,True,12,2.0,17,641,1473,{},CVE-2023-37679,1342966,2026-02-08 13:05:44.210058
Wordpress,Wordpress The True Ranker plugin,True,True,12,1.0,20,14,17,{},CVE-2021-39312,3189,2026-01-27 13:06:27.988543
Zyxel,"USG FLEX 100, 100W, 200, 500, 700, USG20-VPN, USG20W-VPN, ATP 100, 200, 500, 700, 800",True,True,12,2.0,57,86,59,{},CVE-2022-30525,20184,2026-02-07 13:05:04.383660
Ivanti,Avalanche,True,True,12,2.0,17,79,51,{},CVE-2023-32563,19691,2026-02-08 13:05:44.145696
Tenda,Tenda AC18,True,True,12,1.0,12,12,12,"{'22/12/2025': {'connections': 12, 'uniq_ips': 1}}",CVE-2024-30891,12,2025-12-22 12:57:04.211320
PHPJabbers,PHPJabbers Food Delivery Script,True,True,12,2.0,15,20,20,{},CVE-2023-40748,149,2026-02-08 13:05:44.133858
QNAP,QNAP NAS devices running Photo Station,True,True,12,2.0,10,25,20,{},CVE-2022-27593,7282,2026-02-08 13:05:44.107407
RaspAP,RaspAP,True,True,12,2.0,10,42,95,{},CVE-2021-33357,19306,2026-02-08 13:05:44.101873
Wordpress,Wordpress BadgeOS plugin,True,True,12,3.0,24,39,31,{},CVE-2022-2958,14116,2026-02-07 13:05:04.342750
n8n,n8n,True,True,12,5.0,13,18,18,{},CVE-2026-21858,43,2026-02-08 13:05:44.241614
Sitecore,"Experience Manager, Experience Platform, and Experience Commerce",True,True,12,2.0,15,38,39,{},CVE-2023-35813,13908,2026-02-08 13:05:44.163355
Cacti,Cacti,True,True,12,2.0,9,42,90,{},CVE-2024-29895,14366,2026-02-08 13:05:44.064815
Lime Technology,Unraid,True,True,12,2.0,9,53,145,{},CVE-2020-5847,55322,2026-02-08 13:05:44.142596
TamronOS,TamronOS IPTV/VOD,True,True,12,2.0,9,14,14,{},CVE-2023-3606,76,2026-02-08 13:05:44.177675
Patton,SmartNode SN200,True,True,12,2.0,14,34,31,{},CVE-2023-41109,9626,2026-02-08 13:05:44.188761
CloudPanel,CloudPanel,True,True,12,2.0,14,35,44,{},CVE-2023-35885,21164,2026-02-08 13:05:44.103412
OpenTSDB,OpenTSDB,True,True,12,2.0,10,40,92,{},CVE-2020-35476,27046,2026-02-08 13:05:44.157473
Fortinet,FortiOS,True,True,12,2.0,2877,2981,3936,{},CVE-2018-13379,2245489,2026-02-06 13:16:16.393785
mongo-express,mongo-express,True,True,12,1.0,28,41,38,{},CVE-2019-10758,34658,2026-02-07 13:05:04.330147
Dynamicweb Software,Dynamicweb,True,True,12,2.0,10,40,79,{},CVE-2022-25369,18359,2026-02-08 13:05:44.043418
JEECG,jeecg-boot,True,True,12,2.0,16,38,28,{},CVE-2023-34659,11016,2026-02-08 13:05:44.132627
CyberPanel,CyberPanel,True,True,12,4.0,14,31,23,{},CVE-2024-32735,5444,2026-02-06 13:16:16.359599
Microsoft,Exchange,True,True,12,2.0,20,36,161,"{'07/02/2026': {'connections': 12, 'uniq_ips': 3}}",CVE-2021-34473,63508,2026-02-07 13:05:04.179325
ASUSTOR,ASUSTOR ADM,True,True,12,1.0,34,66,40,{},CVE-2018-11511,922,2026-02-07 13:05:04.222406
frangoteam,FUXA,True,True,12,2.0,19,40,326,{},CVE-2023-33831,39156,2026-02-08 13:05:44.039917
XWiki,XWiki Platform,True,True,11,2.0,9,50,190,{},CVE-2025-24893,17920,2026-02-08 13:05:44.102305
Crestron,Crestron HD-MD4X2-4K-E,True,True,11,4.0,13,32,20,"{'07/02/2026': {'connections': 11, 'uniq_ips': 2}}",CVE-2022-23178,9725,2026-02-06 13:16:16.425743
Telos Alliance,Omnia MPX Node,True,True,11,2.0,10,25,20,{},CVE-2022-36642,10961,2026-02-08 13:05:44.230588
Fortinet,FortiWLM,True,True,11,2.0,15,38,257,{},CVE-2023-34993,35878,2026-02-08 13:05:44.147473
Totolink,EX200,True,True,11,2.0,71,97,61,{},CVE-2021-43711,21459,2026-02-07 13:05:04.231648
VoIPmonitor,VoIPmonitor,True,True,11,2.0,24,37,31,{},CVE-2022-24260,13786,2026-02-07 13:05:04.324725
Totolink,Totolink CA600-PoE,True,True,11,1.0,144,161,161,{},CVE-2025-44846,287,2026-02-07 13:05:04.248335
Zoho,"ManageEngine Access Manager Plus, Password Manager Pro, PAM360",True,True,11,2.0,32,43,28,{},CVE-2022-29081,1441,2026-02-07 13:05:04.283294
Dahua,Smart Park Management,True,True,11,2.0,21,36,38,{},CVE-2023-3836,11800,2026-02-08 13:05:44.074676
HPE,LinuxKI,True,True,11,2.0,56,87,91,{},CVE-2020-7209,12662,2026-02-08 13:05:44.219801
WBCE,WBCE CMS,True,True,11,2.0,14,35,32,{},CVE-2023-39796,11049,2026-02-08 13:05:44.238176
Evenroute,IQrouter,True,True,11,1.0,152,194,194,{},CVE-2020-11963,11,2026-02-08 13:05:44.242971
Totolink,Totolink A3002R,True,True,11,1.0,139,185,185,{},CVE-2025-6485,536,2026-02-07 13:05:04.193002
ZyXEL,ZyXEL NAS,True,True,11,2.0,9,55,123,{},CVE-2020-9054,49578,2026-02-08 13:05:44.135929
Dahua,Dahua EIMS,True,True,11,2.0,9,40,99,{},CVE-2024-13985,3316,2026-02-08 13:05:44.105296
SonicWall,SonicWall GMS and Analytics,True,True,11,2.0,21,42,37,{},CVE-2023-34133,14870,2026-02-08 13:05:44.201292
SolarWinds,SolarWinds Orion,True,True,11,2.0,10,24,27,{},CVE-2020-10148,15611,2026-02-08 13:05:44.134066
AVTECH,"AVTECH IP camera, NVR, DVR products",True,True,11,1.0,172,135,135,{},CVE-2025-34054,12,2026-02-08 13:05:44.146440
Progress,Flowmon,True,True,11,2.0,10,37,358,{},CVE-2024-2389,35383,2026-02-08 13:05:44.110605
Apache,Apache HTTP Server,True,True,11,2.0,14,49,133,{},CVE-2021-40438,47672,2026-02-08 13:05:44.204816
